subfamily,n_test,n_train,loss,Gs_f1,Gs_acc,Gi/o_f1,Gi/o_acc,Gq/11_f1,Gq/11_acc,G12/13_f1,G12/13_acc,min_acc
001_003_002_017,4,735,0.5501036643981934,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_003_002_011,3,736,0.3490561246871948,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_003_002_012,4,735,0.5498242378234863,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_003_002_013,4,735,0.5497225522994995,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_003_002_014,4,735,0.5498058199882507,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_003_002_015,3,736,0.34903648495674133,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_004_001,4,735,0.5501125454902649,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_001_004_002,4,735,0.5554952621459961,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_001_004_003,3,736,0.4805424213409424,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_004_004,3,736,0.35543444752693176,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_001_004_005,3,736,0.34822654724121094,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_002_007_001,4,735,0.5500293970108032,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_002_007_002,4,735,0.5498765110969543,0.0,0.9999999975,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.9999999975
001_004_001_001,3,736,0.3695884048938751,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_001_002,3,736,0.6688493490219116,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.49999999375000004,0.3333333322222222,0.0,0.9999999966666667,0.3333333322222222
001_004_001_003,3,736,0.3581125736236572,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_001_004,3,736,0.5570192337036133,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_003_003_001,5,734,0.27574310277123004,0.9999999930000001,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.0,0.9999999980000001,0.9999999980000001
004_002_001_002,3,736,0.35099878907203674,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
